video_path,label,class_name
data/raw/CricShoot10kShootDataset/Reverse Sweep/vid9_25.avi,Reverse Sweep,Reverse Sweep
data/raw/CricShoot10kShootDataset/Sweep/vid532_49.avi,Sweep,Sweep
data/raw/CricShoot10kShootDataset/Square Cut/vid134_0.avi,Square Cut,Square Cut
data/raw/CricShoot10kShootDataset/Lofted Offside/vid479_12.avi,Lofted Offside,Lofted Offside
data/raw/CricShoot10kShootDataset/Cover Drive/vid492_2.avi,Cover Drive,Cover Drive
data/raw/CricShoot10kShootDataset/Down The Wicket/vid95_3.avi,Down The Wicket,Down The Wicket
data/raw/CricShoot10kShootDataset/Pull/vid387_31.avi,Pull,Pull
data/raw/CricShoot10kShootDataset/Cover Drive/vid78_10.avi,Cover Drive,Cover Drive
data/raw/CricShoot10kShootDataset/Reverse Sweep/vid299_12.avi,Reverse Sweep,Reverse Sweep
data/raw/CricShoot10kShootDataset/Lofted Legside/vid123_15.avi,Lofted Legside,Lofted Legside
data/raw/CricShoot10kShootDataset/Lofted Offside/vid17_11.avi,Lofted Offside,Lofted Offside
data/raw/CricShoot10kShootDataset/Flick/vid32_9.avi,Flick,Flick
data/raw/CricShoot10kShootDataset/Hook/vid354_33.avi,Hook,Hook
data/raw/CricShoot10kShootDataset/Lofted Legside/vid355_25.avi,Lofted Legside,Lofted Legside
data/raw/CricShoot10kShootDataset/Lofted Offside/vid514_35.avi,Lofted Offside,Lofted Offside
data/raw/CricShoot10kShootDataset/Lofted Offside/vid54_56.avi,Lofted Offside,Lofted Offside
data/raw/CricShoot10kShootDataset/Reverse Sweep/vid483_47.avi,Reverse Sweep,Reverse Sweep
data/raw/CricShoot10kShootDataset/Cover Drive/vid238_7.avi,Cover Drive,Cover Drive
data/raw/CricShoot10kShootDataset/Pull/vid369_4.avi,Pull,Pull
data/raw/CricShoot10kShootDataset/Down The Wicket/vid127_10.avi,Down The Wicket,Down The Wicket
data/raw/CricShoot10kShootDataset/Flick/vid246_25.avi,Flick,Flick
data/raw/CricShoot10kShootDataset/Square Cut/vid492_21.avi,Square Cut,Square Cut
data/raw/CricShoot10kShootDataset/Down The Wicket/vid510_4.avi,Down The Wicket,Down The Wicket
data/raw/CricShoot10kShootDataset/Scoop/vid82_10.avi,Scoop,Scoop
data/raw/CricShoot10kShootDataset/Square Cut/vid342_31.avi,Square Cut,Square Cut
data/raw/CricShoot10kShootDataset/Cover Drive/vid514_3.avi,Cover Drive,Cover Drive
data/raw/CricShoot10kShootDataset/Pull/vid388_32.avi,Pull,Pull
data/raw/CricShoot10kShootDataset/Lofted Offside/vid490_27.avi,Lofted Offside,Lofted Offside
data/raw/CricShoot10kShootDataset/Straight Drive/vid31_9.avi,Straight Drive,Straight Drive
data/raw/CricShoot10kShootDataset/Lofted Offside/vid51_44.avi,Lofted Offside,Lofted Offside
data/raw/CricShoot10kShootDataset/Lofted Legside/vid444_65.avi,Lofted Legside,Lofted Legside
data/raw/CricShoot10kShootDataset/Hook/vid495_35.avi,Hook,Hook
data/raw/CricShoot10kShootDataset/Square Cut/vid72_29.avi,Square Cut,Square Cut
data/raw/CricShoot10kShootDataset/Lofted Legside/vid84_13.avi,Lofted Legside,Lofted Legside
data/raw/CricShoot10kShootDataset/Square Cut/vid438_19.avi,Square Cut,Square Cut
data/raw/CricShoot10kShootDataset/Sweep/vid437_23.avi,Sweep,Sweep
data/raw/CricShoot10kShootDataset/Pull/vid434_15.avi,Pull,Pull
data/raw/CricShoot10kShootDataset/Sweep/vid435_52.avi,Sweep,Sweep
data/raw/CricShoot10kShootDataset/Flick/vid123_27.avi,Flick,Flick
data/raw/CricShoot10kShootDataset/Flick/vid110_13.avi,Flick,Flick
data/raw/CricShoot10kShootDataset/Square Cut/vid400_13.avi,Square Cut,Square Cut
data/raw/CricShoot10kShootDataset/Late Cut/vid261_52.avi,Late Cut,Late Cut
data/raw/CricShoot10kShootDataset/Square Cut/vid299_14.avi,Square Cut,Square Cut
data/raw/CricShoot10kShootDataset/Lofted Offside/vid43_8.avi,Lofted Offside,Lofted Offside
data/raw/CricShoot10kShootDataset/Lofted Offside/vid367_2.avi,Lofted Offside,Lofted Offside
data/raw/CricShoot10kShootDataset/Lofted Legside/vid452_12.avi,Lofted Legside,Lofted Legside
data/raw/CricShoot10kShootDataset/Square Cut/vid437_43.avi,Square Cut,Square Cut
data/raw/CricShoot10kShootDataset/Lofted Legside/vid43_67.avi,Lofted Legside,Lofted Legside
data/raw/CricShoot10kShootDataset/Sweep/vid171_23.avi,Sweep,Sweep
data/raw/CricShoot10kShootDataset/Flick/vid366_20.avi,Flick,Flick
data/raw/CricShoot10kShootDataset/Down The Wicket/vid43_55.avi,Down The Wicket,Down The Wicket
data/raw/CricShoot10kShootDataset/Flick/vid522_24.avi,Flick,Flick
data/raw/CricShoot10kShootDataset/Square Cut/vid203_31.avi,Square Cut,Square Cut
data/raw/CricShoot10kShootDataset/Lofted Offside/vid353_44.avi,Lofted Offside,Lofted Offside
data/raw/CricShoot10kShootDataset/Flick/vid223_22.avi,Flick,Flick
data/raw/CricShoot10kShootDataset/Lofted Offside/vid412_8.avi,Lofted Offside,Lofted Offside
data/raw/CricShoot10kShootDataset/Reverse Sweep/vid275_2.avi,Reverse Sweep,Reverse Sweep
data/raw/CricShoot10kShootDataset/Square Cut/vid304_7.avi,Square Cut,Square Cut
data/raw/CricShoot10kShootDataset/Square Cut/vid295_4.avi,Square Cut,Square Cut
data/raw/CricShoot10kShootDataset/Flick/vid240_45.avi,Flick,Flick
data/raw/CricShoot10kShootDataset/Lofted Offside/vid433_9.avi,Lofted Offside,Lofted Offside
data/raw/CricShoot10kShootDataset/Hook/vid100_40.avi,Hook,Hook
data/raw/CricShoot10kShootDataset/Lofted Offside/vid486_64.avi,Lofted Offside,Lofted Offside
data/raw/CricShoot10kShootDataset/Hook/vid234_45.avi,Hook,Hook
data/raw/CricShoot10kShootDataset/Cover Drive/vid235_49.avi,Cover Drive,Cover Drive
data/raw/CricShoot10kShootDataset/Flick/vid122_0.avi,Flick,Flick
data/raw/CricShoot10kShootDataset/Square Cut/vid393_50.avi,Square Cut,Square Cut
data/raw/CricShoot10kShootDataset/Upper Cut/vid303_5.avi,Upper Cut,Upper Cut
data/raw/CricShoot10kShootDataset/Upper Cut/vid135_19.avi,Upper Cut,Upper Cut
data/raw/CricShoot10kShootDataset/Defensive/vid91_0.avi,Defensive,Defensive
data/raw/CricShoot10kShootDataset/Down The Wicket/vid256_5.avi,Down The Wicket,Down The Wicket
data/raw/CricShoot10kShootDataset/Lofted Legside/vid415_14.avi,Lofted Legside,Lofted Legside
data/raw/CricShoot10kShootDataset/Square Cut/vid316_27.avi,Square Cut,Square Cut
data/raw/CricShoot10kShootDataset/Straight Drive/vid387_49.avi,Straight Drive,Straight Drive
data/raw/CricShoot10kShootDataset/Lofted Legside/vid489_49.avi,Lofted Legside,Lofted Legside
data/raw/CricShoot10kShootDataset/Square Cut/vid153_7.avi,Square Cut,Square Cut
data/raw/CricShoot10kShootDataset/Straight Drive/vid117_10.avi,Straight Drive,Straight Drive
data/raw/CricShoot10kShootDataset/Sweep/vid234_41.avi,Sweep,Sweep
data/raw/CricShoot10kShootDataset/Upper Cut/vid146_4.avi,Upper Cut,Upper Cut
